dates,Portfolio,Market,Size,Value,Momentum
2008m12,-0.0514394,0.035784,-0.0357882,0.0098323,0.022337
2009m1,-0.0283579,-0.0590799,0.0327048,-0.0747488,0.0745478
2009m2,-0.0594365,-0.065729,0.0196803,-0.0052256,-0.0019252
2009m3,0.0062332,0.0323105,0.0019557,0.0053476,-0.1258095
2009m4,0.2670131,0.0989555,0.18537,0.1135515,-0.2737417
2009m5,0.0638293,0.0415229,0.0056775,-0.0057048,-0.0476178
2009m6,-0.0042553,-0.0324828,0.0052036,-0.0297369,-0.0056369
2009m7,0.0144317,0.0846633,0.0131755,0.0360648,-0.0226292
2009m8,0.0536099,0.0767138,0.0560176,0.1007439,-0.0702435
2009m9,0.0634131,0.0468541,0.0017313,0.0115393,-0.0047822
2009m10,0.0318852,-0.0186068,-0.0085202,-0.0329204,0.0212053
2009m11,-0.0752596,0.0292471,-0.0635924,-0.0155782,0.021757
2009m12,-0.0464325,0.0430076,-0.0250144,-0.0011432,-0.0032044
2010m1,0.0381632,-0.0361539,0.0465015,-0.0166757,-0.0077815
2010m2,0.0333322,0.0333489,-0.0375057,-0.0022262,0.0166739
2010m3,0.0179838,0.0671609,-0.0212708,0.0065411,0.0738454
2010m4,0.0920105,-0.0143192,0.0541262,0.0197039,0.0055791
2010m5,-0.063162,-0.0626848,-0.0121893,-0.0241948,0.0080007
2010m6,-0.0282593,-0.0467026,0.0308099,-0.0284107,0.0160135
2010m7,-0.0102334,0.068558,-0.0092205,-0.0032299,0.017834
2010m8,0.0548759,-0.002606,-0.0089004,-0.017123,0.0255968
2010m9,-0.0483854,0.0650445,0.018004,0.0062271,0.0388262
2010m10,0.0427184,0.0248984,0.0058749,0.0178963,0.0304366
2010m11,-0.0040987,-0.0229421,-0.0083628,-0.006853,0.032946
2010m12,0.0731476,0.0710195,0.0244676,0.0206902,0.0252655
